Sr. No.,Frame Material,Pane Material,Frame E [GPa],Frame K IC [MPa m^[1/2]],Frame alpha [1E-6/K],Frame k [W/m-K],Frame kappa [W m^2/J],Pane E [GPa],Pane K IC [MPa m^[1/2]],Pane alpha [1E-6/K],Pane k [W/m-K],Pane kappa [W m^2/J],Pane Area,Fillet Scale,Pane Depth,Frame Scale,Frame Safety Factor,Pane Safety Factor,Frame Fracture Factor,Pane Fracture Factor
82,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.01,0.95,0.074,0.092,0.673,1.211
83,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.01,0.95,0.072,0.092,0.645,1.251
84,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.01,0.975,0.068,0.09,0.462,1.439
85,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.01,0.975,0.069,0.09,0.496,1.319
86,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.01,0.95,0.038,0.058,0.153,0.024
87,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.01,0.95,0.037,0.057,0.139,0.024
88,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.01,0.975,0.034,0.052,0.144,0.022
89,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.01,0.975,0.072,0.089,0.802,0.582
90,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.025,0.95,0.086,0.105,0.795,1.229
91,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.025,0.95,0.084,0.105,0.767,1.294
92,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.025,0.975,0.08,0.104,0.589,1.332
93,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.025,0.975,0.081,0.104,0.648,1.399
94,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.01,0.95,0.236,0.382,3.09,0.041
95,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.01,0.95,0.241,0.372,2.712,0.039
96,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.01,0.975,0.24,0.364,2.401,0.037
97,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.01,0.975,0.244,0.391,2.216,0.041
98,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.25,0.01,0.95,0.243,0.483,4.463,0.057
